Officer-defined ethnicity,Date,Object of search,Gender,Age range,count
White,2020-08-01,Articles for use in criminal damage,Female,25-34,2
White,2020-08-01,Articles for use in criminal damage,Female,over 34,1
White,2020-08-01,Articles for use in criminal damage,Male,10-17,21
White,2020-08-01,Articles for use in criminal damage,Male,18-24,12
White,2020-08-01,Articles for use in criminal damage,Male,25-34,6
White,2020-08-01,Articles for use in criminal damage,Male,over 34,20
White,2020-08-01,Controlled drugs,Female,10-17,46
White,2020-08-01,Controlled drugs,Female,18-24,179
White,2020-08-01,Controlled drugs,Female,25-34,150
White,2020-08-01,Controlled drugs,Female,over 34,210
White,2020-08-01,Controlled drugs,Male,10-17,407
White,2020-08-01,Controlled drugs,Male,18-24,1122
White,2020-08-01,Controlled drugs,Male,25-34,944
White,2020-08-01,Controlled drugs,Male,over 34,919
White,2020-08-01,Controlled drugs,Other,10-17,1
White,2020-08-01,Controlled drugs,Other,18-24,1
White,2020-08-01,Evidence of offences under the Act,Female,10-17,6
White,2020-08-01,Evidence of offences under the Act,Female,18-24,2
White,2020-08-01,Evidence of offences under the Act,Female,25-34,1
White,2020-08-01,Evidence of offences under the Act,Female,over 34,6
White,2020-08-01,Evidence of offences under the Act,Male,10-17,63
White,2020-08-01,Evidence of offences under the Act,Male,18-24,84
White,2020-08-01,Evidence of offences under the Act,Male,25-34,92
White,2020-08-01,Evidence of offences under the Act,Male,over 34,125
White,2020-08-01,Evidence of offences under the Act,Male,under 10,1
White,2020-08-01,Firearms,Female,18-24,2
White,2020-08-01,Firearms,Female,25-34,4
White,2020-08-01,Firearms,Female,over 34,3
White,2020-08-01,Firearms,Male,10-17,5
White,2020-08-01,Firearms,Male,18-24,7
White,2020-08-01,Firearms,Male,25-34,10
White,2020-08-01,Firearms,Male,over 34,7
White,2020-08-01,Fireworks,Male,25-34,1
White,2020-08-01,Fireworks,Male,over 34,2
White,2020-08-01,Offensive weapons,Female,10-17,9
White,2020-08-01,Offensive weapons,Female,18-24,13
White,2020-08-01,Offensive weapons,Female,25-34,9
White,2020-08-01,Offensive weapons,Female,over 34,16
White,2020-08-01,Offensive weapons,Male,10-17,178
White,2020-08-01,Offensive weapons,Male,18-24,182
White,2020-08-01,Offensive weapons,Male,25-34,165
White,2020-08-01,Offensive weapons,Male,over 34,139
White,2020-08-01,Offensive weapons,Male,under 10,1
White,2020-08-01,Offensive weapons,Other,over 34,2
White,2020-08-01,Stolen goods,Female,10-17,17
White,2020-08-01,Stolen goods,Female,18-24,30
White,2020-08-01,Stolen goods,Female,25-34,39
White,2020-08-01,Stolen goods,Female,over 34,45
White,2020-08-01,Stolen goods,Male,10-17,179
White,2020-08-01,Stolen goods,Male,18-24,198
White,2020-08-01,Stolen goods,Male,25-34,253
White,2020-08-01,Stolen goods,Male,over 34,321
White,2020-08-01,Stolen goods,Male,under 10,2
White,2020-09-01,Anything to threaten or harm anyone,Male,10-17,3
White,2020-09-01,Anything to threaten or harm anyone,Male,18-24,9
White,2020-09-01,Anything to threaten or harm anyone,Male,25-34,2
White,2020-09-01,Anything to threaten or harm anyone,Male,over 34,1
White,2020-09-01,Articles for use in criminal damage,Female,10-17,7
White,2020-09-01,Articles for use in criminal damage,Female,18-24,6
White,2020-09-01,Articles for use in criminal damage,Female,over 34,3
White,2020-09-01,Articles for use in criminal damage,Male,10-17,26
White,2020-09-01,Articles for use in criminal damage,Male,18-24,17
White,2020-09-01,Articles for use in criminal damage,Male,25-34,20
White,2020-09-01,Articles for use in criminal damage,Male,over 34,15
White,2020-09-01,Controlled drugs,Female,10-17,60
White,2020-09-01,Controlled drugs,Female,18-24,167
White,2020-09-01,Controlled drugs,Female,25-34,132
White,2020-09-01,Controlled drugs,Female,over 34,212
White,2020-09-01,Controlled drugs,Female,under 10,1
White,2020-09-01,Controlled drugs,Male,10-17,382
White,2020-09-01,Controlled drugs,Male,18-24,1220
White,2020-09-01,Controlled drugs,Male,25-34,945
White,2020-09-01,Controlled drugs,Male,over 34,856
White,2020-09-01,Controlled drugs,Male,under 10,1
White,2020-09-01,Evidence of offences under the Act,Female,10-17,2
White,2020-09-01,Evidence of offences under the Act,Female,18-24,10
White,2020-09-01,Evidence of offences under the Act,Female,25-34,10
White,2020-09-01,Evidence of offences under the Act,Female,over 34,15
White,2020-09-01,Evidence of offences under the Act,Male,10-17,80
White,2020-09-01,Evidence of offences under the Act,Male,18-24,85
White,2020-09-01,Evidence of offences under the Act,Male,25-34,86
White,2020-09-01,Evidence of offences under the Act,Male,over 34,125
White,2020-09-01,Firearms,Female,10-17,2
White,2020-09-01,Firearms,Female,18-24,1
White,2020-09-01,Firearms,Female,25-34,3
White,2020-09-01,Firearms,Female,over 34,2
White,2020-09-01,Firearms,Male,10-17,4
White,2020-09-01,Firearms,Male,18-24,14
White,2020-09-01,Firearms,Male,25-34,10
White,2020-09-01,Firearms,Male,over 34,6
White,2020-09-01,Fireworks,Male,10-17,1
White,2020-09-01,Fireworks,Male,over 34,1
White,2020-09-01,Offensive weapons,Female,10-17,8
White,2020-09-01,Offensive weapons,Female,18-24,14
White,2020-09-01,Offensive weapons,Female,25-34,11
White,2020-09-01,Offensive weapons,Female,over 34,11
White,2020-09-01,Offensive weapons,Male,10-17,199
White,2020-09-01,Offensive weapons,Male,18-24,206
White,2020-09-01,Offensive weapons,Male,25-34,137
White,2020-09-01,Offensive weapons,Male,over 34,142
White,2020-09-01,Offensive weapons,Male,under 10,1
White,2020-09-01,Stolen goods,Female,10-17,19
White,2020-09-01,Stolen goods,Female,18-24,24
White,2020-09-01,Stolen goods,Female,25-34,37
White,2020-09-01,Stolen goods,Female,over 34,63
White,2020-09-01,Stolen goods,Male,10-17,206
White,2020-09-01,Stolen goods,Male,18-24,214
White,2020-09-01,Stolen goods,Male,25-34,230
White,2020-09-01,Stolen goods,Male,over 34,281
White,2020-09-01,Stolen goods,Other,over 34,1
White,2020-10-01,Anything to threaten or harm anyone,Female,10-17,5
White,2020-10-01,Anything to threaten or harm anyone,Female,25-34,1
White,2020-10-01,Anything to threaten or harm anyone,Female,over 34,1
White,2020-10-01,Anything to threaten or harm anyone,Male,10-17,16
White,2020-10-01,Anything to threaten or harm anyone,Male,18-24,12
White,2020-10-01,Anything to threaten or harm anyone,Male,25-34,7
White,2020-10-01,Anything to threaten or harm anyone,Male,over 34,9
White,2020-10-01,Articles for use in criminal damage,Female,10-17,3
White,2020-10-01,Articles for use in criminal damage,Female,18-24,1
White,2020-10-01,Articles for use in criminal damage,Male,10-17,40
White,2020-10-01,Articles for use in criminal damage,Male,18-24,8
White,2020-10-01,Articles for use in criminal damage,Male,25-34,6
White,2020-10-01,Articles for use in criminal damage,Male,over 34,8
White,2020-10-01,Controlled drugs,Female,10-17,111
White,2020-10-01,Controlled drugs,Female,18-24,192
White,2020-10-01,Controlled drugs,Female,25-34,153
White,2020-10-01,Controlled drugs,Female,over 34,147
White,2020-10-01,Controlled drugs,Male,10-17,582
White,2020-10-01,Controlled drugs,Male,18-24,1465
White,2020-10-01,Controlled drugs,Male,25-34,1184
White,2020-10-01,Controlled drugs,Male,over 34,997
White,2020-10-01,Controlled drugs,Other,25-34,1
White,2020-10-01,Controlled drugs,Other,over 34,1
White,2020-10-01,Evidence of offences under the Act,Female,10-17,9
White,2020-10-01,Evidence of offences under the Act,Female,18-24,8
White,2020-10-01,Evidence of offences under the Act,Female,25-34,13
White,2020-10-01,Evidence of offences under the Act,Female,over 34,15
White,2020-10-01,Evidence of offences under the Act,Male,10-17,121
White,2020-10-01,Evidence of offences under the Act,Male,18-24,101
White,2020-10-01,Evidence of offences under the Act,Male,25-34,145
White,2020-10-01,Evidence of offences under the Act,Male,over 34,175
White,2020-10-01,Firearms,Female,10-17,1
White,2020-10-01,Firearms,Female,18-24,2
White,2020-10-01,Firearms,Female,over 34,2
White,2020-10-01,Firearms,Male,10-17,8
White,2020-10-01,Firearms,Male,18-24,1
White,2020-10-01,Firearms,Male,25-34,8
White,2020-10-01,Firearms,Male,over 34,8
White,2020-10-01,Fireworks,Female,10-17,13
White,2020-10-01,Fireworks,Female,18-24,2
White,2020-10-01,Fireworks,Male,10-17,137
White,2020-10-01,Fireworks,Male,18-24,26
White,2020-10-01,Fireworks,Male,25-34,10
White,2020-10-01,Fireworks,Male,over 34,2
White,2020-10-01,Offensive weapons,Female,10-17,28
White,2020-10-01,Offensive weapons,Female,18-24,11
White,2020-10-01,Offensive weapons,Female,25-34,21
White,2020-10-01,Offensive weapons,Female,over 34,6
White,2020-10-01,Offensive weapons,Male,10-17,288
White,2020-10-01,Offensive weapons,Male,18-24,254
White,2020-10-01,Offensive weapons,Male,25-34,168
White,2020-10-01,Offensive weapons,Male,over 34,152
White,2020-10-01,Stolen goods,Female,10-17,30
White,2020-10-01,Stolen goods,Female,18-24,41
White,2020-10-01,Stolen goods,Female,25-34,45
White,2020-10-01,Stolen goods,Female,over 34,67
White,2020-10-01,Stolen goods,Male,10-17,197
White,2020-10-01,Stolen goods,Male,18-24,213
White,2020-10-01,Stolen goods,Male,25-34,273
White,2020-10-01,Stolen goods,Male,over 34,304
White,2020-11-01,Anything to threaten or harm anyone,Female,10-17,1
White,2020-11-01,Anything to threaten or harm anyone,Male,10-17,14
White,2020-11-01,Anything to threaten or harm anyone,Male,18-24,28
White,2020-11-01,Anything to threaten or harm anyone,Male,25-34,8
White,2020-11-01,Anything to threaten or harm anyone,Male,over 34,4
White,2020-11-01,Articles for use in criminal damage,Female,25-34,3
White,2020-11-01,Articles for use in criminal damage,Female,over 34,3
White,2020-11-01,Articles for use in criminal damage,Male,10-17,12
White,2020-11-01,Articles for use in criminal damage,Male,18-24,8
White,2020-11-01,Articles for use in criminal damage,Male,25-34,13
White,2020-11-01,Articles for use in criminal damage,Male,over 34,10
White,2020-11-01,Controlled drugs,Female,10-17,125
White,2020-11-01,Controlled drugs,Female,18-24,256
White,2020-11-01,Controlled drugs,Female,25-34,178
White,2020-11-01,Controlled drugs,Female,over 34,215
White,2020-11-01,Controlled drugs,Male,10-17,670
White,2020-11-01,Controlled drugs,Male,18-24,1683
White,2020-11-01,Controlled drugs,Male,25-34,1370
White,2020-11-01,Controlled drugs,Male,over 34,1147
White,2020-11-01,Controlled drugs,Male,under 10,1
White,2020-11-01,Controlled drugs,Other,18-24,1
White,2020-11-01,Controlled drugs,Other,25-34,2
White,2020-11-01,Controlled drugs,Other,over 34,1
White,2020-11-01,Evidence of offences under the Act,Female,10-17,7
White,2020-11-01,Evidence of offences under the Act,Female,18-24,11
White,2020-11-01,Evidence of offences under the Act,Female,25-34,5
White,2020-11-01,Evidence of offences under the Act,Female,over 34,17
White,2020-11-01,Evidence of offences under the Act,Male,10-17,80
White,2020-11-01,Evidence of offences under the Act,Male,18-24,117
White,2020-11-01,Evidence of offences under the Act,Male,25-34,183
White,2020-11-01,Evidence of offences under the Act,Male,over 34,200
White,2020-11-01,Evidence of offences under the Act,Other,over 34,1
White,2020-11-01,Firearms,Female,18-24,2
White,2020-11-01,Firearms,Female,25-34,1
White,2020-11-01,Firearms,Male,10-17,2
White,2020-11-01,Firearms,Male,18-24,8
White,2020-11-01,Firearms,Male,25-34,6
White,2020-11-01,Firearms,Male,over 34,6
White,2020-11-01,Fireworks,Female,10-17,4
White,2020-11-01,Fireworks,Female,18-24,3
White,2020-11-01,Fireworks,Female,over 34,1
White,2020-11-01,Fireworks,Male,10-17,41
White,2020-11-01,Fireworks,Male,18-24,33
White,2020-11-01,Fireworks,Male,25-34,4
White,2020-11-01,Fireworks,Male,over 34,6
White,2020-11-01,Offensive weapons,Female,10-17,17
White,2020-11-01,Offensive weapons,Female,18-24,11
White,2020-11-01,Offensive weapons,Female,25-34,8
White,2020-11-01,Offensive weapons,Female,over 34,14
White,2020-11-01,Offensive weapons,Male,10-17,264
White,2020-11-01,Offensive weapons,Male,18-24,238
White,2020-11-01,Offensive weapons,Male,25-34,170
White,2020-11-01,Offensive weapons,Male,over 34,175
White,2020-11-01,Offensive weapons,Other,18-24,1
White,2020-11-01,Stolen goods,Female,10-17,14
White,2020-11-01,Stolen goods,Female,18-24,36
White,2020-11-01,Stolen goods,Female,25-34,54
White,2020-11-01,Stolen goods,Female,over 34,53
White,2020-11-01,Stolen goods,Male,10-17,257
White,2020-11-01,Stolen goods,Male,18-24,257
White,2020-11-01,Stolen goods,Male,25-34,285
White,2020-11-01,Stolen goods,Male,over 34,304
White,2020-11-01,Stolen goods,Other,25-34,1
White,2020-11-01,Stolen goods,Other,over 34,1
White,2020-12-01,Anything to threaten or harm anyone,Male,10-17,5
White,2020-12-01,Anything to threaten or harm anyone,Male,18-24,6
White,2020-12-01,Anything to threaten or harm anyone,Male,25-34,8
White,2020-12-01,Anything to threaten or harm anyone,Male,over 34,6
White,2020-12-01,Articles for use in criminal damage,Female,18-24,3
White,2020-12-01,Articles for use in criminal damage,Male,10-17,18
White,2020-12-01,Articles for use in criminal damage,Male,18-24,19
White,2020-12-01,Articles for use in criminal damage,Male,25-34,9
White,2020-12-01,Articles for use in criminal damage,Male,over 34,11
White,2020-12-01,Controlled drugs,Female,10-17,85
White,2020-12-01,Controlled drugs,Female,18-24,202
White,2020-12-01,Controlled drugs,Female,25-34,132
White,2020-12-01,Controlled drugs,Female,over 34,130
White,2020-12-01,Controlled drugs,Male,10-17,568
White,2020-12-01,Controlled drugs,Male,18-24,1442
White,2020-12-01,Controlled drugs,Male,25-34,1109
White,2020-12-01,Controlled drugs,Male,over 34,803
White,2020-12-01,Controlled drugs,Male,under 10,2
White,2020-12-01,Controlled drugs,Other,10-17,1
White,2020-12-01,Controlled drugs,Other,18-24,1
White,2020-12-01,Controlled drugs,Other,over 34,1
White,2020-12-01,Evidence of offences under the Act,Female,10-17,2
White,2020-12-01,Evidence of offences under the Act,Female,18-24,2
White,2020-12-01,Evidence of offences under the Act,Female,25-34,8
White,2020-12-01,Evidence of offences under the Act,Female,over 34,6
White,2020-12-01,Evidence of offences under the Act,Male,10-17,68
White,2020-12-01,Evidence of offences under the Act,Male,18-24,115
White,2020-12-01,Evidence of offences under the Act,Male,25-34,112
White,2020-12-01,Evidence of offences under the Act,Male,over 34,149
White,2020-12-01,Evidence of offences under the Act,Other,10-17,1
White,2020-12-01,Firearms,Female,25-34,7
White,2020-12-01,Firearms,Male,10-17,2
White,2020-12-01,Firearms,Male,18-24,5
White,2020-12-01,Firearms,Male,25-34,3
White,2020-12-01,Firearms,Male,over 34,8
White,2020-12-01,Fireworks,Male,10-17,6
White,2020-12-01,Fireworks,Male,18-24,4
White,2020-12-01,Fireworks,Male,25-34,2
White,2020-12-01,Fireworks,Male,over 34,2
White,2020-12-01,Offensive weapons,Female,10-17,12
White,2020-12-01,Offensive weapons,Female,18-24,14
White,2020-12-01,Offensive weapons,Female,25-34,10
White,2020-12-01,Offensive weapons,Female,over 34,17
White,2020-12-01,Offensive weapons,Male,10-17,174
White,2020-12-01,Offensive weapons,Male,18-24,181
White,2020-12-01,Offensive weapons,Male,25-34,133
White,2020-12-01,Offensive weapons,Male,over 34,119
White,2020-12-01,Offensive weapons,Other,over 34,1
White,2020-12-01,Stolen goods,Female,10-17,22
White,2020-12-01,Stolen goods,Female,18-24,24
White,2020-12-01,Stolen goods,Female,25-34,45
White,2020-12-01,Stolen goods,Female,over 34,46
White,2020-12-01,Stolen goods,Male,10-17,190
White,2020-12-01,Stolen goods,Male,18-24,232
White,2020-12-01,Stolen goods,Male,25-34,272
White,2020-12-01,Stolen goods,Male,over 34,253
White,2020-12-01,Stolen goods,Other,25-34,1
